	ID	Locutor	Duração	F01m	F01v	F02m	F02v	F03m	F03v	F04m	F04v	Fdm	Fdv	Intensidade	F0m	F0v	SHRm	SHRv	CPPm	CPPv	H12m	H12v	H24m	H24v	H42km	H42kv	H2k5km	H2k5kv	tag	Posiçao	Fonetica	Fonologica	Ditongo	Palavra	Tonicidade	Precedente	Seguinte	Fechada	Silabas	Oral	LetraPre	LetraSeg	Sexo	Arquivo	CLASS_00	CLASS_01	CLASS_02	CLASS_03	CLASS_04	CLASS_05	CLASS_06	CLASS_07	CLASS_08	CLASS_09
3018	3018	20	-0.22607693954723915	-0.6327949602489511	0.4943457130442328	1.8459469927378536	0.7407475009933348	1.359752807677644	0.03192830281606394	1.2579306218866988	0.7500547077328902	1.4113829486178013	0.5439695820210747	-0.35776787518308134	0.41870688755145274	0.03230861816150447	1.0969442353124579	-0.6440750078806606	-0.01675771409013749	0.22980062908694052	-0.7417445471153113	-0.0007793067318102361	4.001190242709639	-0.0200743005280422	-0.9900576946625731	-0.0076753665475557484	0.35920526946928855	0.011313376282409787	'e-e-1-T-0'	0	'e'	'ɪ'	0	'e'	'T'	'NA'	'NA'	0	1	1	'na'	'na'	'M'	'Locutor_0020M_M1_S'	0	0	0	0	0	0	0	0	0	0
3019	3019	20	-0.4267675263542897	-0.6090439884189297	-0.3173856689530971	-1.3997437176506837	3.193997160062235	-0.9620368889904214	-0.006611069484957853	-1.3816156301838514	0.07678741155888595	-1.0699955283748488	0.02441606095220498	0.5145937175645369	0.12968743060690452	0.16719733578219595	1.947638862758156	-0.6537687607101607	-0.07980687070385563	1.4164600734475015	-1.1629264080113197	-0.004052006950685828	1.5087765867789569	-0.01927436270896724	-0.06697556556482505	-0.022497892353868072	0.16110489905769254	0.01821243926929567	'i-terminou-3-E-3'	1	'i'	'mi'	0	'terminou'	'E'	'm'	'NA'	0	3	1	'm'	'n'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	1	0	0	0	0	0
3020	3020	20	0.3045137766661245	0.35621353725654087	-0.6746898694763006	-0.3236786403605098	-0.6775555522799047	0.8515002215621054	-0.9005179963316468	0.17615740898795285	-0.3818221644686836	0.03385845048425137	-0.3810709567235887	1.1590150953490124	0.2734470129565441	0.7548964174174213	-0.25695146201665103	1.006884228377081	-0.22380290021206295	-0.2980956638796792	-0.429732116280585	-0.01219011971760085	0.413624623087096	-0.013933047088617015	1.4840381186252736	-0.02609292593592272	-0.08316110597041916	0.010598120077272672	'o-terminou-3-T-0'	2	'o'	'noʊ'	0	'terminou'	'T'	'n'	'ʊ'	0	3	1	'n'	'u'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	1	1	1	0	0	1
3021	3021	20	-0.24718865868630713	-0.2077093758448542	0.49693404491249293	0.07105247588438439	2.0918329599935754	-0.3089636067850058	0.06184347540358939	-1.2120930032098074	0.7967165196986965	-1.0589661058125255	0.6803330454907934	0.9142829321987198	0.34561968052049435	-0.5671056003165349	0.5128709637622264	0.33973219185699566	1.1174217290438255	0.25481540454807955	-0.9144660393924255	-0.00622314433345248	0.976196771972819	-0.01721090854795287	-1.2369255475460956	-0.012164005784558804	1.7247665977112447	0.0100547098609122	'e-ele-2-T-0'	0	'e'	'e'	0	'ele'	'T'	'NA'	'NA'	0	2	1	'na'	'l'	'M'	'Locutor_0020M_M1_S'	0	0	0	0	0	0	0	0	0	0
3022	3022	20	-0.7187975647041016	-0.6012511382013136	0.8677535427456589	-0.03314623228804818	1.9546614838636613	-0.47131886776021564	1.926245267333659	-0.11053073618506234	1.7404944748810571	0.11784232514119092	1.6029308541879383	0.4704291574798228	0.41224042685041545	-0.2745738461016047	1.5679809011494237	-0.5771222031779144	0.33393949065695555	1.0026820913612555	-1.9091985673622969	-0.003864831221623007	0.8037882496053157	-0.013429644164940273	0.31311177509429644	-0.02597921889006244	0.5394552852067505	0.007558434768560063	'i-ele-2-O-2'	1	'i'	'lɪ'	0	'ele'	'O'	'l'	'NA'	0	2	1	'l'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	1	0	0	0	0	0	0
3023	3023	20	-0.017270724612638507	0.00604521993323206	2.3541980375401486	-0.5863197288963804	1.182565540640855	-1.5571732615019396	1.5842662008644721	-0.8721044072078524	0.7650103330502107	-0.8191823377883943	0.5861477291101512	1.4656710820314731	0.16805845639786784	0.3247852953775306	1.392603973667112	-0.47719259547199055	-0.15805539006536598	-0.06823451803656357	0.18419986644049421	-0.023912668863314338	-1.696433649630665	-0.026793596710669297	1.2412902887021333	-0.027283428838984772	1.2028331989892413	0.0062185621360021604	'a-saindo-3-E-3'	0	'a'	'sa'	0	'saindo'	'E'	's'	'NA'	0	3	1	's'	'i'	'M'	'Locutor_0020M_M1_S'	0	0	1	1	0	0	0	0	0	0
3024	3024	20	-0.7171965832854736	-0.9639537746024882	0.23526153106861014	0.13206369931562692	1.527729097384171	-0.003066624200509655	0.9697721251742575	0.4651685420118575	2.000940059565141	0.7906858543105177	1.8380543659044157	0.48453629090473954	0.11447300379384222	-0.3958778960378873	-0.9126619146742613	-0.8210412082554444	0.0769099169299102	-0.18440522676251872	0.20251072999462613	-0.05560987859687215	1.1279555487796553	-0.02132436935600559	-0.678150821965224	-0.01740185901364601	1.3780837296479131	0.0037286499678559066	'in-saindo-3-T-0'	1	'in'	'ĩ'	0	'saindo'	'T'	'NA'	'NA'	1	3	1	'a'	'n'	'M'	'Locutor_0020M_M1_S'	0	0	0	0	0	0	0	0	0	0
3025	3025	20	-0.46601795942983876	-0.37044663297242	-0.6902579721871259	0.16001348673621427	-0.6275222632409341	0.6324774053283222	0.31582036939223773	0.9517250009900775	1.1614731468910653	1.0279424586650652	1.2612984154756397	-0.6277016784718145	0.25199577851638827	0.15933372331427123	1.610856735886824	-0.42398583432897713	-0.37464821437882617	-1.117069074898523	-1.1200794390685591	-0.004742629150129958	1.484483385830496	-0.017173990233765958	1.2461189488518096	-0.028113402680320126	-0.24739139315193975	0.01106341105974392	'u-saindo-3-O-2'	2	'u'	'ddʊ'	0	'saindo'	'O'	'd'	'NA'	0	3	1	'd'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
3026	3026	20	-0.44010962462893843	-0.6843230042422834	-0.960879016560871	0.22570719735489614	-0.7411145048215482	0.3308846077061366	-0.9311626055736849	0.38182859236399663	-1.0219601882877407	0.6096545361784697	-1.0903221516074484	0.5152399123332816	0.10640093227478724	-0.13882324625740924	1.4638076696080418	-0.689904889739781	-0.4883845651098162	0.14680553325844004	-0.8772306012978053	-0.0067175991709322105	2.080077922636246	-0.020390946542316293	1.0374202585482257	-0.02907491314254576	-0.7669978716317567	0.035298887105447575	'u-do-1-T-0'	0	'u'	'do'	0	'do'	'T'	'd'	'NA'	0	1	1	'd'	'na'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	0	0	0	0	0	0
3027	3027	20	1.3320601520086754	-0.5702160280290116	2.454712168017812	-0.5499424715849213	0.29771965125177746	-1.8567099417562096	2.0625122161217195	-1.1958909894411445	-0.36660331003407265	-0.9103119201885536	-0.5404647495148652	1.0463787754392313	-0.054012392323002145	0.33558148475216293	-0.3109076627173732	1.1803744822037727	-0.10265316522166264	0.3741453086615825	0.2929242291086675	-0.005309525547539567	-0.44767305197833157	-0.0018879475999945725	0.5787175716575271	-0.02588476103764763	1.2777222665669272	0.006365177796142872	'a-nada-2-T-0'	0	'a'	'na'	0	'nada'	'T'	'n'	'NA'	0	2	1	'n'	'd'	'M'	'Locutor_0020M_M1_S'	0	1	1	0	1	0	0	0	0	0
